cost_A,cost_B,cost_C
237.0,115.05,227.4
275.0,139.27112499999998,237.625
277.0,148.4,208.025
310.0,176.66759375,247.225
310.0,139.54276315789474,153.1
293.0,144.5625,25.0
293.0,141.775,164.22500000000002
377.39,330.34999999999997,192.65
238.83,187.10000000000002,285.75
112.4,261.59999999999997,207.425
178.8,287.09999999999997,282.09999999999997
178.8,182.55,331.40000000000003
178.8,182.7,362.625
162.0,259.3,437.675
161.60000000000002,333.5,424.5
162.10999999999999,309.7,465.175
214.14499999999998,223.05,216.875
313.0,170.5,225.8
287.0,184.04276315789474,338.425
288.0,161.0625,140.52499999999998
284.0,176.025,186.425
287.0,216.85000000000002,319.625
277.0,208.25,254.575
275.0,324.0,232.925
