P_user,P_PV,P_WG
818,0.0,303.3
820,0.0,491.54999999999995
913,0.0,494.75
918,0.0,535.95
871,0.0,738.7
815,0.0,671.65
883,0.0,387.5
957,10.650000000000004,108.0
931,423.75,166.29999999999998
879,830.34,257.95000000000005
1047,1054.4850000000001,61.599999999999994
1100,1177.125,278.1
1253,1179.7649999999999,521.35
1278,1081.41,352.04999999999995
1248,882.7950000000001,172.0
1328,574.6500000000001,300.25
963,59.385000000000005,510.15000000000003
915,0.0,512.5
1084,0.0,659.95
814,0.0,629.5500000000001
844,0.0,304.85
954,0.0,261.04999999999995
864,0.0,248.35000000000002
890,0.0,116.15
